"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WT01","WT03","WT04","WT05","WT06","WT11"
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-06-14",,,"0.00","0.0","0.0","94","66","93",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-06-15",,,"0.00","0.0","0.0","95","71","92",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-06-16",,,"0.00","0.0","0.0","97","71","94",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-06-17",,,"0.00","0.0","0.0","94","71","82",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-06-18",,,"0.00","0.0","0.0","95","71","91",,"    1",,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-06-19",,,"0.00","0.0","0.0","91","73","74",,"    1",,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-06-20",,,"0.32","0.0","0.0","82","68","74",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-06-21",,,"0.00","0.0","0.0","87","69","78",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-06-22",,,"0.00","0.0","0.0","93","69","90",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-06-23",,,"0.00","0.0","0.0","93","73","88",,"    1",,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-06-24",,,"0.00","0.0","0.0","88","67","79",,"    1",,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-06-25",,,"4.33","0.0","0.0","93","72","91",,"    1",,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-06-26",,,"0.05","0.0","0.0","93","79","91",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-06-27",,,"0.00","0.0","0.0","95","74","92",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-06-28",,,"0.00","0.0","0.0","95","74","91",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-06-29",,,"0.00","0.0","0.0","95","78","91",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-06-30",,,"0.00","0.0","0.0","99","76","96",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-07-01",,,"0.00","0.0","0.0","100","76","96",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-07-02",,,"0.00","0.0","0.0","102","75","98",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-07-03",,,"0.00","0.0","0.0","98","76","96",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-07-04",,,"0.00","0.0","0.0","98","75","97",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-07-05",,,"0.00","0.0","0.0","100","75","96",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-07-06",,,"0.00","0.0","0.0","99","77","98",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-07-07",,,"0.00","0.0","0.0","100","78","97",,,,,,
